number,value,datetime_start,datetime_complete,duration,params_batch_size,params_brightness,params_contrast,params_crop_scale_min,params_drop_rate,params_erasing_prob,params_erasing_scale_max,params_erasing_scale_min,params_label_smoothing,params_learning_rate,params_optimizer,params_saturation,params_weight_decay,state
0,0.8164926919138088,2026-02-06 20:28:44.369148,2026-02-06 20:36:15.001240,0 days 00:07:30.632092,16,0.055146123573950614,0.2924774630404986,0.5912726728878613,0.34044600469728353,0.18493564427131048,0.19585112746335845,0.03454599737656805,0.1416145155592091,5.6115164153345e-05,SGD,0.17486639612006327,0.0007114476009343421,COMPLETE
1,0.8497272898073789,2026-02-06 20:36:15.258776,2026-02-06 20:43:21.425263,0 days 00:07:06.166487,32,0.17855860960340292,0.19810364221551063,0.784665661176,0.41407038455720546,0.34301794076057535,0.16626289824631987,0.033641929894983325,0.03993475643167195,0.00011207606211860574,SGD,0.05696756190799966,1.9762189340280066e-05,COMPLETE
2,0.7464279056664069,2026-02-06 20:43:21.677600,2026-02-06 20:50:21.959161,0 days 00:07:00.281561,64,0.11469499540000423,0.21563057108849548,0.7908753883293675,0.11375540844608736,0.3080272084711243,0.19621361388138175,0.06373682234746238,0.1818640804157564,0.0008536189862866829,SGD,0.09675666141341166,0.0002661901888489054,COMPLETE
3,0.901029018091748,2026-02-06 20:50:22.203893,2026-02-06 20:57:08.643944,0 days 00:06:46.440051,64,0.11783725794347398,0.2571843772879823,0.7406590942262119,0.23013213230530574,0.2123738038749523,0.18523105624369066,0.06341568665265988,0.07773545793789641,0.0003550304858128307,AdamW,0.1035129990040384,0.0006584106160121611,COMPLETE
4,0.9646134622251366,2026-02-06 20:57:08.908691,2026-02-06 21:04:52.566210,0 days 00:07:43.657519,16,0.13961643213606817,0.07896726488128243,0.5932946965146987,0.4085081386743783,0.3493192507310232,0.1658895875715059,0.046471841988211936,0.014808930346818072,1.4096175149815848e-05,Adam,0.17946551388133902,0.0009133995846860973,COMPLETE
5,0.7080991223648511,2026-02-06 21:04:52.822017,2026-02-06 21:07:38.414083,0 days 00:02:45.592066,32,0.17344889909109767,0.18068320734549853,0.6909231233791342,0.3245108790277985,0.11016765069763808,0.15785729642168356,0.028631314159464356,0.1541934359909122,4.4706085467784903e-05,SGD,0.11413115275378245,0.0001544608907504709,PRUNED
6,0.9688021136677196,2026-02-06 21:07:38.679522,2026-02-06 21:15:19.747778,0 days 00:07:41.068256,16,0.28242441308564326,0.25203009489110423,0.7677676995469933,0.21590058116550723,0.44858423607508713,0.19664251472150895,0.08429376615192916,0.03224425745080089,4.253162363790868e-05,Adam,0.14501056347656355,3.35515102272148e-05,COMPLETE
7,0.8648979010301776,2026-02-06 21:15:20.010056,2026-02-06 21:22:38.498948,0 days 00:07:18.488892,16,0.17768682564439142,0.15435275078719474,0.5969608796062266,0.4442922333025374,0.14794614693347313,0.3857274259781298,0.047009213712290235,0.0013904261062381408,0.00011986281799901183,SGD,0.08331617157060955,0.00026443593078398644,PRUNED
8,0.956289362373132,2026-02-06 21:22:38.750904,2026-02-06 21:29:37.824078,0 days 00:06:59.073174,32,0.2023910834949742,0.1756697558072154,0.543468461627367,0.21393619775098704,0.2114585856946446,0.2098904726667431,0.09266127087733231,0.007377389470906559,0.00010903884523201111,AdamW,0.05772181268749841,0.00012854549964879015,COMPLETE
9,0.9648999974394059,2026-02-06 21:29:38.075391,2026-02-06 21:36:27.420865,0 days 00:06:49.345474,64,0.18394367101868964,0.07257244251360208,0.6772678829564726,0.35292233223743186,0.22831202598869435,0.16019378538869097,0.03492148083198834,0.12670594215217895,9.525889086580776e-05,AdamW,0.1752953743383857,0.0009056311714376344,COMPLETE
10,0.9609830841329892,2026-02-06 21:36:27.677162,2026-02-06 21:44:10.503868,0 days 00:07:42.826706,16,0.29325902571109275,0.25932946533607226,0.733624653145459,0.10911178707901181,0.492466227996852,0.25998730113207064,0.09424617134951335,0.07605859205036213,1.1722636308848833e-05,Adam,0.1440325467359852,2.331018299885666e-06,COMPLETE
11,0.9206100685039807,2026-02-06 21:44:10.757090,2026-02-06 21:48:18.181322,0 days 00:04:07.424232,64,0.2880429784480049,0.07434003911272381,0.6689428341732657,0.22495207461715436,0.4566072424300473,0.24290662156803988,0.07945041256018916,0.11746648348030214,3.475529915585461e-05,AdamW,0.1453527440263684,1.9350268866581915e-05,PRUNED
12,0.9358314384551807,2026-02-06 21:48:18.440369,2026-02-06 21:52:26.640741,0 days 00:04:08.200372,64,0.24451281206137399,0.12396251963788624,0.7174643442123361,0.49974497545662067,0.4098860273610446,0.34033980763530547,0.07838678636253611,0.09893034527948143,2.5372668088888164e-05,Adam,0.1993221563619339,3.855157879297612e-06,PRUNED
13,0.6623335137859826,2026-02-06 21:52:26.905513,2026-02-06 21:55:11.203367,0 days 00:02:44.297854,64,0.2395559042532685,0.12588361128762993,0.6392499488134854,0.2659768290185665,0.2553082698269053,0.3085566282894887,0.021352317063048423,0.06417003572396342,0.0002256630285228942,Adam,0.14460006983585919,4.932956485097662e-05,PRUNED
14,0.9284473799737348,2026-02-06 21:55:11.468464,2026-02-06 21:59:46.729259,0 days 00:04:35.260795,16,0.24947191754675493,0.055409744921480805,0.5044686025121866,0.1699190261871361,0.39078590071521796,0.23927641862618565,0.07867539139289229,0.12265395913284154,6.450591087662199e-05,AdamW,0.17033818901024222,8.822619714549775e-06,PRUNED
15,0.596272828628994,2026-02-06 21:59:46.998421,2026-02-06 22:02:52.243049,0 days 00:03:05.244628,16,0.07266436644332921,0.23247571014264679,0.7627666152975303,0.3614838463376575,0.27453691203919295,0.22349148989896633,0.048536317576645685,0.19872249146251508,0.0002494683273647461,Adam,0.1304302186121241,5.2652934374808235e-05,PRUNED
16,0.9364683461221667,2026-02-06 22:02:52.494720,2026-02-06 22:06:59.333661,0 days 00:04:06.838941,64,0.21503510946088975,0.1257139119378126,0.6332420058027389,0.2813640571212969,0.4248864105731716,0.2855910072061049,0.05629284286002298,0.04262063067190651,2.024556182410234e-05,AdamW,0.1607861743233771,8.415944863950547e-06,PRUNED
17,0.9658700393704237,2026-02-06 22:06:59.599999,2026-02-06 22:13:51.519756,0 days 00:06:51.919757,64,0.26828560713046806,0.2984606962624272,0.7100863499749384,0.16463447309163043,0.243111221491992,0.15812740062563838,0.06842342819723587,0.1588910517948107,7.222434203321286e-05,Adam,0.19016250989104602,6.935494098375976e-05,COMPLETE
18,0.8722679425312261,2026-02-06 22:13:51.776056,2026-02-06 22:16:57.480662,0 days 00:03:05.704606,16,0.27190202225607396,0.2973653138830288,0.715693473646435,0.16369764615592236,0.3410379245522328,0.27431845005687067,0.08666251192568751,0.17010768133380616,3.411599403558146e-05,Adam,0.19830424060981144,7.634283854807914e-05,PRUNED
19,0.9592667197529842,2026-02-06 22:16:57.739448,2026-02-06 22:24:00.835086,0 days 00:07:03.095638,32,0.269082214196295,0.264523761256232,0.7579106698867926,0.18456947061738077,0.2848971170445036,0.21851426215962436,0.06909284333551353,0.09853468856148813,6.951109383855099e-05,Adam,0.1256077533175834,2.5577864940002273e-05,COMPLETE
20,0.8931065779237592,2026-02-06 22:24:01.083547,2026-02-06 22:27:06.174592,0 days 00:03:05.091045,16,0.22256110204944643,0.23559140818306307,0.70934782041652,0.14055985083789002,0.4766107324522299,0.1886375932230091,0.09995766830254693,0.03896109485456293,0.00016345653401795713,Adam,0.16052347010880214,1.244127718508264e-06,PRUNED
21,0.9146941477319386,2026-02-06 22:27:06.444471,2026-02-06 22:29:50.884908,0 days 00:02:44.440437,64,0.29774441594670514,0.2858980877124777,0.675434551907324,0.2547527982205474,0.23985121816418473,0.15170718638608613,0.07084455542297005,0.13657513068764918,7.978335560088654e-05,AdamW,0.1830587521573784,1.0625011543354696e-05,PRUNED
22,0.9114953563474316,2026-02-06 22:29:51.146522,2026-02-06 22:32:36.611519,0 days 00:02:45.464997,64,0.26467266094850483,0.26734831035268225,0.6885475329849474,0.2937741547888633,0.16916088134881946,0.17672195463165213,0.05656873072330228,0.16484634121202418,3.889459714074783e-05,Adam,0.15956209054263631,0.0003725709645679753,PRUNED
23,0.580383802346865,2026-02-06 22:32:36.875460,2026-02-06 22:35:20.473587,0 days 00:02:43.598127,64,0.1496822008087697,0.15055727381006165,0.7629250702452673,0.1949951886598408,0.3111987837552327,0.15066191331180578,0.07207811057440798,0.11757512373773181,0.00042851219392196944,Adam,0.18595089965234235,9.543564254620815e-05,PRUNED
24,0.9138208224780197,2026-02-06 22:35:20.731491,2026-02-06 22:38:05.972928,0 days 00:02:45.241437,64,0.1947113837453353,0.2321147011027979,0.799485075849801,0.3815908942569575,0.3738987802420731,0.21280776410048335,0.08789767494178118,0.13661744004524257,2.4537946887814243e-05,AdamW,0.1530822207231949,3.7632276129452957e-05,PRUNED
25,0.9110514901738362,2026-02-06 22:38:06.235861,2026-02-06 22:40:51.685319,0 days 00:02:45.449458,64,0.23128316042272903,0.09634178301935636,0.653767520432042,0.32088216277872306,0.22916826966367235,0.17875493465292497,0.04022085102896112,0.1538718774788501,8.400022418519055e-05,Adam,0.16965217730674204,0.0003865571099822091,PRUNED
26,0.8823065917117626,2026-02-06 22:40:51.937712,2026-02-06 22:43:36.230459,0 days 00:02:44.292747,64,0.25981108951911264,0.20719069950652352,0.623804236653619,0.14290812589525248,0.10875660592805333,0.23673293422573052,0.020483339899039447,0.19157019805441539,0.00016615649613921601,AdamW,0.1900424522465919,0.00018923058683088692,PRUNED
27,0.9638095834547062,2026-02-06 22:43:36.488414,2026-02-06 22:50:28.402384,0 days 00:06:51.913970,64,0.28168201704900475,0.2743559571276855,0.7370740215663323,0.24739967887340175,0.2700181240139645,0.20417376120794756,0.08142018911898485,0.10840355457735501,5.3640598937751196e-05,Adam,0.13206718303644369,1.3388870263190836e-05,COMPLETE
28,0.9155562525328886,2026-02-06 22:50:28.657047,2026-02-06 22:53:19.828783,0 days 00:02:51.171736,32,0.10049582424812888,0.24446045579967451,0.701606348805559,0.20684298901033277,0.18663789712141388,0.17614762123556507,0.05707560551178674,0.05730779103483907,1.740547964689883e-05,Adam,0.16908484507204305,4.483156052541764e-06,PRUNED
29,0.9649221932282867,2026-02-06 22:53:20.081713,2026-02-06 23:00:58.604683,0 days 00:07:38.522970,16,0.20798467218553482,0.29853510196409067,0.6647089356135988,0.3431423212692264,0.15612108849346013,0.1961514320331472,0.07290832689746007,0.02175730452659655,4.8498987760638625e-05,AdamW,0.18084295995377586,0.0005736738330523714,COMPLETE
